0 | organ | tissue | bone | connective tissue 
39 | nervous tissue | tissue | nervous tissue | tissue 
40 | mouse | mammal | Shivering | Biological process 
41 | nervous tissue | tissue | connective tissue | tissue 
42 | animal | organism | adipose tissue | connective tissue 
42 | animal | organism | adipose tissue | tissue 
43 | erythrocyte | blood cell | mouse | mammal 
44 | erythrocyte | blood cell | mammalian digestive system | digestive system 
45 | brown fat | connective tissue | stratified squamous epithelium | epithelium 
45 | brown fat | connective tissue | stratified squamous epithelium | tissue 
46 | brown fat | adipose tissue | stratified squamous epithelium | epithelium 
47 | Metabolism | Biological process | connective tissue | tissue 
48 | Thermoregulation | Regulation | adipose tissue | connective tissue 
49 | nervous tissue | tissue | aquatic organism | organism 
50 | small intestine | digestive organ | stomach | digestive organ 
51 | Muscle contraction | Mechanical work | nervous tissue | tissue 
52 | stratified squamous epithelium | epithelium | mouse | mammal 
53 | Metabolism | Biological process | Disease process | Biological process 
54 | connective tissue | tissue | mouse | mammal 
55 | epithelium | tissue | cartilage | connective tissue 
56 | cartilage | connective tissue | mammalian digestive system | digestive system 
57 | Evaporative cooling of water | Evaporative cooling | Shivering | Biological process 
58 | erythrocyte | blood cell | mammalian digestive system | digestive system 
59 | brown fat | adipose tissue | Protein denaturation by heat | Protein denaturation 
60 | brown fat | adipose tissue | stomach | digestive organ 
61 | stomach | digestive organ | bone | connective tissue 
62 | salivary gland | gland | cartilage | connective tissue 
63 | mammalian digestive system | digestive system | cuboidal epithelium | epithelium 
64 | salivary gland | gland | salivary gland | gland 
65 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
66 | ligament | connective tissue | cuboidal epithelium | epithelium 
66 | ligament | connective tissue | cuboidal epithelium | tissue 
67 | connective tissue | tissue | aquatic organism | organism 
68 | Shivering | Biological process | epithelium | tissue 
69 | muscle | tissue | cartilage | connective tissue 
69 | muscle | tissue | cartilage | tissue 
70 | brown fat | connective tissue | cartilage | connective tissue 
70 | brown fat | connective tissue | cartilage | tissue 
71 | brown fat | adipose tissue | cartilage | connective tissue 
72 | connective tissue | tissue | brown fat | adipose tissue 
73 | aquatic organism | organism | Protein denaturation by heat | Protein denaturation 
74 | Evaporative cooling of water | Evaporative cooling | salivary gland | gland 
75 | erythrocyte | blood cell | small intestine | digestive organ 
76 | stratified squamous epithelium | epithelium | Metabolism | Biological process 
77 | salivary gland | gland | Metabolism | Biological process 
78 | cuboidal epithelium | epithelium | connective tissue | tissue 
79 | stomach | digestive organ | nervous tissue | tissue 
80 | connective tissue | tissue | bone | connective tissue 
81 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
82 | Evaporative cooling of water | Evaporative cooling | nervous tissue | tissue 
83 | stratified squamous epithelium | epithelium | mouse | mammal 
84 | blood | connective tissue | Disease process | Biological process 
85 | Muscle contraction | Mechanical work | mouse | mammal 
86 | stratified squamous epithelium | tissue | brown fat | adipose tissue 
86 | stratified squamous epithelium | tissue | brown fat | connective tissue 
87 | stratified squamous epithelium | epithelium | brown fat | adipose tissue 
88 | bone | connective tissue | epithelium | tissue 
89 | Muscle contraction | Mechanical work | Disease process | Biological process 
90 | Evaporative cooling of water | Evaporative cooling | epithelium | tissue 
91 | Shivering | Biological process | Shivering | Biological process 
92 | nervous tissue | tissue | mammalian digestive system | digestive system 
93 | salivary gland | gland | aquatic organism | organism 
94 | aquatic organism | organism | brown fat | adipose tissue 
95 | mammalian digestive system | digestive system | cartilage | connective tissue 
96 | adipose tissue | connective tissue | invertebrate | animal 
97 | stomach | digestive organ | Metabolism | Biological process 
98 | central nervous-system | organ system | bone | connective tissue 
98 | central nervous-system | organ system | bone | tissue 
99 | cartilage | connective tissue | mouse | mammal 
100 | aquatic organism | organism | nervous tissue | tissue 
101 | connective tissue | tissue | Evaporative cooling of water | Evaporative cooling 
102 | salivary gland | gland | mammalian digestive system | digestive system 
103 | muscle | tissue | stratified squamous epithelium | epithelium 
103 | muscle | tissue | stratified squamous epithelium | tissue 
104 | aquatic organism | organism | Shivering | Biological process 
105 | epithelium | tissue | Disease process | Biological process 
106 | Thermoregulation | Regulation | Disease process | Biological process 
107 | salivary gland | gland | Disease process | Biological process 
108 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
109 | Disease process | Biological process | stomach | digestive organ 
110 | mouse | mammal | Metabolism | Biological process 
111 | brown fat | adipose tissue | invertebrate | animal 
112 | stratified squamous epithelium | tissue | stratified squamous epithelium | epithelium 
112 | stratified squamous epithelium | tissue | stratified squamous epithelium | tissue 
113 | stratified squamous epithelium | epithelium | stratified squamous epithelium | epithelium 
114 | cartilage | tissue | adipose tissue | connective tissue 
114 | cartilage | tissue | adipose tissue | tissue 
115 | cartilage | connective tissue | adipose tissue | connective tissue 
116 | salivary gland | gland | invertebrate | animal 
117 | mouse | mammal | stratified squamous epithelium | epithelium 
118 | bone | connective tissue | Evaporative cooling of water | Evaporative cooling 
119 | Evaporative cooling of water | Evaporative cooling | Metabolism | Biological process 
120 | small intestine | digestive organ | cuboidal epithelium | epithelium 
121 | adipose tissue | connective tissue | Metabolism | Biological process 
122 | Muscle contraction | Mechanical work | small intestine | digestive organ 
123 | Protein denaturation by heat | Protein denaturation | bone | connective tissue 
124 | bone | connective tissue | Shivering | Biological process 
125 | adipose tissue | tissue | brown fat | adipose tissue 
125 | adipose tissue | tissue | brown fat | connective tissue 
126 | adipose tissue | connective tissue | brown fat | adipose tissue 
127 | salivary gland | gland | Metabolism | Biological process 
128 | Disease process | Biological process | cuboidal epithelium | epithelium 
129 | Shivering | Biological process | stomach | digestive organ 
130 | adipose tissue | connective tissue | Evaporative cooling of water | Evaporative cooling 
131 | small intestine | digestive organ | Evaporative cooling of water | Evaporative cooling 
132 | stomach | digestive organ | stomach | digestive organ 
133 | stratified squamous epithelium | epithelium | mouse | mammal 
134 | epithelium | tissue | cuboidal epithelium | epithelium 
135 | mammalian digestive system | digestive system | cuboidal epithelium | epithelium 
136 | Hibernation | Biological process | brown fat | adipose tissue 
136 | Hibernation | Biological process | brown fat | connective tissue 
136 | Hibernation | Biological process | brown fat | tissue 
137 | stomach | digestive organ | bone | connective tissue 
138 | adipose tissue | tissue | adipose tissue | connective tissue 
138 | adipose tissue | tissue | adipose tissue | tissue 
139 | adipose tissue | connective tissue | adipose tissue | connective tissue 
140 | cartilage | connective tissue | Metabolism | Biological process 
141 | bone | connective tissue | epithelium | tissue 
142 | Evaporative cooling of water | Evaporative cooling | adipose tissue | connective tissue 
143 | salivary gland | gland | Protein denaturation by heat | Protein denaturation 
144 | adipose tissue | connective tissue | Shivering | Biological process 
145 | epithelium | tissue | mammalian digestive system | digestive system 
146 | connective tissue | tissue | invertebrate | animal 
147 | cuboidal epithelium | tissue | stratified squamous epithelium | epithelium 
147 | cuboidal epithelium | tissue | stratified squamous epithelium | tissue 
148 | cuboidal epithelium | epithelium | stratified squamous epithelium | epithelium 
149 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
150 | mammalian digestive system | digestive system | nervous tissue | tissue 
151 | small intestine | digestive organ | small intestine | digestive organ 
152 | small intestine | digestive organ | cartilage | connective tissue 
153 | adipose tissue | tissue | cuboidal epithelium | epithelium 
153 | adipose tissue | tissue | cuboidal epithelium | tissue 
154 | adipose tissue | connective tissue | cuboidal epithelium | epithelium 
155 | invertebrate | animal | adipose tissue | connective tissue 
156 | small intestine | digestive organ | Shivering | Biological process 
157 | Shivering | Biological process | brown fat | adipose tissue 
158 | adipose tissue | tissue | stratified squamous epithelium | epithelium 
158 | adipose tissue | tissue | stratified squamous epithelium | tissue 
159 | adipose tissue | connective tissue | stratified squamous epithelium | epithelium 
160 | mammalian digestive system | digestive system | Disease process | Biological process 
161 | stratified squamous epithelium | tissue | stratified squamous epithelium | epithelium 
161 | stratified squamous epithelium | tissue | stratified squamous epithelium | tissue 
162 | stratified squamous epithelium | epithelium | stratified squamous epithelium | epithelium 
163 | erythrocyte | blood cell | small intestine | digestive organ 
164 | invertebrate | animal | mouse | mammal 
165 | Shivering | Biological process | salivary gland | gland 
166 | salivary gland | gland | stratified squamous epithelium | epithelium 
167 | invertebrate | animal | epithelium | tissue 
168 | epithelium | tissue | bone | connective tissue 
169 | bone | connective tissue | Disease process | Biological process 
170 | tendon | tissue | brown fat | adipose tissue 
170 | tendon | tissue | brown fat | connective tissue 
170 | tendon | tissue | brown fat | tissue 
171 | tendon | connective tissue | brown fat | adipose tissue 
171 | tendon | connective tissue | brown fat | connective tissue 
172 | connective tissue | tissue | Shivering | Biological process 
173 | invertebrate | animal | invertebrate | animal 
174 | Protein denaturation by heat | Protein denaturation | nervous tissue | tissue 
175 | adipose tissue | connective tissue | aquatic organism | organism 
176 | mouse | mammal | Shivering | Biological process 
177 | Thermoregulation | Regulation | Evaporative cooling of water | Evaporative cooling 
178 | smooth muscle | tissue | bone | connective tissue 
178 | smooth muscle | tissue | bone | tissue 
179 | stomach | digestive organ | Disease process | Biological process 
180 | erythrocyte | blood cell | cartilage | connective tissue 
181 | aquatic organism | organism | connective tissue | tissue 
182 | connective tissue | tissue | cuboidal epithelium | epithelium 
183 | Evaporative cooling of water | Evaporative cooling | invertebrate | animal 
184 | Shivering | Biological process | stomach | digestive organ 
185 | Protein denaturation by heat | Protein denaturation | salivary gland | gland 
186 | Disease process | Biological process | aquatic organism | organism 
187 | aquatic organism | organism | stomach | digestive organ 
188 | cuboidal epithelium | epithelium | Shivering | Biological process 
189 | Thermoregulation | Regulation | bone | connective tissue 
190 | muscle | tissue | cuboidal epithelium | epithelium 
190 | muscle | tissue | cuboidal epithelium | tissue 
191 | Thermoregulation | Regulation | nervous tissue | tissue 
192 | blood | connective tissue | mammalian digestive system | digestive system 
193 | salivary gland | gland | brown fat | adipose tissue 
194 | Muscle contraction | Mechanical work | brown fat | adipose tissue 
195 | stratified squamous epithelium | epithelium | small intestine | digestive organ 
196 | connective tissue | tissue | stratified squamous epithelium | epithelium 
197 | aquatic organism | organism | cuboidal epithelium | epithelium 
198 | invertebrate | animal | aquatic organism | organism 
199 | erythrocyte | blood cell | connective tissue | tissue 
200 | erythrocyte | blood cell | nervous tissue | tissue 
201 | cartilage | connective tissue | mouse | mammal 
202 | Muscle contraction | Mechanical work | aquatic organism | organism 
203 | mouse | mammal | stomach | digestive organ 
204 | brown fat | adipose tissue | Protein denaturation by heat | Protein denaturation 
205 | connective tissue | tissue | cuboidal epithelium | epithelium 
206 | connective tissue | tissue | Metabolism | Biological process 
207 | Protein denaturation by heat | Protein denaturation | stomach | digestive organ 
208 | Muscle contraction | Mechanical work | cartilage | connective tissue 
209 | invertebrate | animal | adipose tissue | connective tissue 
210 | erythrocyte | blood cell | salivary gland | gland 
211 | cuboidal epithelium | epithelium | mouse | mammal 
212 | stomach | digestive organ | Evaporative cooling of water | Evaporative cooling 
213 | animal | organism | adipose tissue | connective tissue 
213 | animal | organism | adipose tissue | tissue 
214 | tongue | organ | cartilage | connective tissue 
214 | tongue | organ | cartilage | tissue 
215 | small intestine | digestive organ | Disease process | Biological process 
216 | mammalian digestive system | digestive system | mouse | mammal 
217 | aquatic organism | organism | cuboidal epithelium | epithelium 
218 | nervous tissue | tissue | salivary gland | gland 
219 | small intestine | digestive organ | nervous tissue | tissue 
220 | invertebrate | animal | bone | connective tissue 
221 | small intestine | organ | brown fat | adipose tissue 
221 | small intestine | organ | brown fat | connective tissue 
221 | small intestine | organ | brown fat | tissue 
222 | small intestine | digestive organ | brown fat | adipose tissue 
223 | cuboidal epithelium | epithelium | Metabolism | Biological process 
224 | stratified squamous epithelium | epithelium | aquatic organism | organism 
225 | connective tissue | tissue | cartilage | connective tissue 
226 | blood | connective tissue | Shivering | Biological process 
227 | aquatic organism | organism | mammalian digestive system | digestive system 
228 | stomach | digestive organ | invertebrate | animal 
229 | aquatic organism | organism | invertebrate | animal 
230 | salivary gland | gland | salivary gland | gland 
231 | Metabolism | Biological process | stratified squamous epithelium | epithelium 
232 | tongue | organ | adipose tissue | connective tissue 
232 | tongue | organ | adipose tissue | tissue 
233 | elephant | mammal | brown fat | adipose tissue 
233 | elephant | mammal | brown fat | connective tissue 
233 | elephant | mammal | brown fat | tissue 
234 | stratified squamous epithelium | epithelium | mammalian digestive system | digestive system 
235 | cardiac muscle | tissue | brown fat | adipose tissue 
235 | cardiac muscle | tissue | brown fat | connective tissue 
235 | cardiac muscle | tissue | brown fat | tissue 
236 | stratified squamous epithelium | epithelium | aquatic organism | organism 
237 | stomach | digestive organ | stratified squamous epithelium | epithelium 
238 | central nervous-system | organ system | adipose tissue | connective tissue 
238 | central nervous-system | organ system | adipose tissue | tissue 
239 | Thermoregulation | Biological process | brown fat | adipose tissue 
239 | Thermoregulation | Biological process | brown fat | connective tissue 
239 | Thermoregulation | Biological process | brown fat | tissue 
240 | Thermoregulation | Regulation | brown fat | adipose tissue 
241 | cuboidal epithelium | epithelium | invertebrate | animal 
242 | cuboidal epithelium | epithelium | Evaporative cooling of water | Evaporative cooling 
243 | cartilage | connective tissue | stomach | digestive organ 
244 | epithelium | tissue | cartilage | connective tissue 
245 | small intestine | digestive organ | adipose tissue | connective tissue 
246 | cuboidal epithelium | epithelium | epithelium | tissue 
247 | brown fat | adipose tissue | small intestine | digestive organ 
248 | salivary gland | gland | Disease process | Biological process 
249 | Protein denaturation by heat | Protein denaturation | mouse | mammal 
250 | gland | organ | brown fat | adipose tissue 
250 | gland | organ | brown fat | connective tissue 
250 | gland | organ | brown fat | tissue 
251 | stratified squamous epithelium | epithelium | nervous tissue | tissue 
252 | nervous tissue | tissue | brown fat | adipose tissue 
253 | nervous tissue | tissue | mouse | mammal 
254 | brown fat | connective tissue | bone | connective tissue 
254 | brown fat | connective tissue | bone | tissue 
255 | brown fat | adipose tissue | bone | connective tissue 
256 | epithelium | tissue | salivary gland | gland 
257 | stomach | digestive organ | Disease process | Biological process 
258 | mammalian digestive system | digestive system | adipose tissue | connective tissue 
259 | bone | connective tissue | invertebrate | animal 
260 | aquatic organism | organism | stratified squamous epithelium | epithelium 
261 | erythrocyte | blood cell | Metabolism | Biological process 
262 | Metabolism | Biological process | connective tissue | tissue 
263 | Metabolism | Biological process | cartilage | connective tissue 
264 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
265 | Disease process | Biological process | stomach | digestive organ 
266 | invertebrate | animal | connective tissue | tissue 
267 | salivary gland | gland | Disease process | Biological process 
268 | Metabolism | Biological process | Shivering | Biological process 
269 | erythrocyte | blood cell | Shivering | Biological process 
270 | digestive system | organ system | bone | connective tissue 
270 | digestive system | organ system | bone | tissue 
271 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
272 | adipose tissue | connective tissue | connective tissue | tissue 
273 | Shivering | Biological process | Shivering | Biological process 
274 | salivary gland | gland | nervous tissue | tissue 
275 | aquatic organism | organism | cuboidal epithelium | epithelium 
276 | Metabolism | Biological process | cartilage | connective tissue 
277 | mouse | mammal | brown fat | adipose tissue 
278 | nervous tissue | tissue | invertebrate | animal 
279 | Muscle contraction | Mechanical work | Evaporative cooling of water | Evaporative cooling 
280 | Evaporative cooling of water | Evaporative cooling | Disease process | Biological process 
281 | cuboidal epithelium | epithelium | salivary gland | gland 
282 | epithelium | tissue | salivary gland | gland 
283 | stratified squamous epithelium | epithelium | Evaporative cooling of water | Evaporative cooling 
284 | Muscle contraction | Mechanical work | adipose tissue | connective tissue 
285 | stomach | digestive organ | epithelium | tissue 
286 | invertebrate | animal | Disease process | Biological process 
287 | mouse | mammal | Shivering | Biological process 
288 | stomach | digestive organ | small intestine | digestive organ 
289 | blood | tissue | adipose tissue | connective tissue 
289 | blood | tissue | adipose tissue | tissue 
290 | blood | connective tissue | adipose tissue | connective tissue 
291 | smooth muscle | tissue | cuboidal epithelium | epithelium 
291 | smooth muscle | tissue | cuboidal epithelium | tissue 
292 | epithelium | tissue | nervous tissue | tissue 
293 | mouse | mammal | connective tissue | tissue 
294 | Protein denaturation by heat | Protein denaturation | aquatic organism | organism 
295 | stratified squamous epithelium | epithelium | Shivering | Biological process 
296 | cuboidal epithelium | tissue | adipose tissue | connective tissue 
296 | cuboidal epithelium | tissue | adipose tissue | tissue 
297 | cuboidal epithelium | epithelium | adipose tissue | connective tissue 
298 | bone | tissue | brown fat | adipose tissue 
298 | bone | tissue | brown fat | connective tissue 
299 | bone | connective tissue | brown fat | adipose tissue 
300 | salivary gland | gland | mammalian digestive system | digestive system 
301 | Protein denaturation by heat | Protein denaturation | Evaporative cooling of water | Evaporative cooling 
302 | salivary gland | gland | Disease process | Biological process 
303 | stratified squamous epithelium | epithelium | Metabolism | Biological process 
304 | erythrocyte | blood cell | stratified squamous epithelium | epithelium 
305 | nervous tissue | tissue | mammalian digestive system | digestive system 
306 | blood | connective tissue | Disease process | Biological process 
307 | erythrocyte | blood cell | bone | connective tissue 
308 | smooth muscle | tissue | cartilage | connective tissue 
308 | smooth muscle | tissue | cartilage | tissue 
309 | stratified squamous epithelium | epithelium | nervous tissue | tissue 
310 | aquatic organism | organism | mammalian digestive system | digestive system 
311 | cartilage | connective tissue | Metabolism | Biological process 
312 | brown fat | adipose tissue | small intestine | digestive organ 
313 | stomach | digestive organ | nervous tissue | tissue 
314 | blood | connective tissue | Disease process | Biological process 
315 | Metabolism | Biological process | Protein denaturation by heat | Protein denaturation 
316 | epithelium | tissue | salivary gland | gland 
317 | brown fat | connective tissue | cuboidal epithelium | epithelium 
317 | brown fat | connective tissue | cuboidal epithelium | tissue 
318 | brown fat | adipose tissue | cuboidal epithelium | epithelium 
319 | Shivering | Biological process | cartilage | connective tissue 
320 | Metabolism | Biological process | Protein denaturation by heat | Protein denaturation 
321 | mammalian digestive system | digestive system | Protein denaturation by heat | Protein denaturation 
322 | Protein denaturation by heat | Protein denaturation | small intestine | digestive organ 
323 | Disease process | Biological process | bone | connective tissue 
324 | adipose tissue | connective tissue | mammalian digestive system | digestive system 
325 | Disease process | Biological process | Disease process | Biological process 
326 | salivary gland | gland | epithelium | tissue 
327 | muscle | tissue | brown fat | adipose tissue 
327 | muscle | tissue | brown fat | connective tissue 
328 | tendon | connective tissue | cuboidal epithelium | epithelium 
328 | tendon | connective tissue | cuboidal epithelium | tissue 
329 | Protein denaturation by heat | Protein denaturation | stomach | digestive organ 
330 | Shivering | Biological process | Evaporative cooling of water | Evaporative cooling 
331 | connective tissue | tissue | stratified squamous epithelium | epithelium 
332 | Evaporative cooling of water | Evaporative cooling | epithelium | tissue 
333 | small intestine | digestive organ | epithelium | tissue 
334 | digestive system | organ system | cartilage | connective tissue 
334 | digestive system | organ system | cartilage | tissue 
335 | ligament | tissue | brown fat | adipose tissue 
335 | ligament | tissue | brown fat | connective tissue 
335 | ligament | tissue | brown fat | tissue 
336 | ligament | connective tissue | brown fat | adipose tissue 
336 | ligament | connective tissue | brown fat | connective tissue 
337 | Shivering | Biological process | Protein denaturation by heat | Protein denaturation 
338 | Thermoregulation | Biological process | brown fat | adipose tissue 
338 | Thermoregulation | Biological process | brown fat | connective tissue 
338 | Thermoregulation | Biological process | brown fat | tissue 
339 | Thermoregulation | Regulation | brown fat | adipose tissue 
340 | salivary gland | gland | mouse | mammal 
341 | brown fat | connective tissue | cuboidal epithelium | epithelium 
341 | brown fat | connective tissue | cuboidal epithelium | tissue 
342 | brown fat | adipose tissue | cuboidal epithelium | epithelium 
343 | Metabolism | Biological process | cartilage | connective tissue 
344 | adipose tissue | connective tissue | nervous tissue | tissue 
345 | Metabolism | Biological process | brown fat | adipose tissue 
346 | salivary gland | gland | small intestine | digestive organ 
347 | blood | connective tissue | salivary gland | gland 
348 | erythrocyte | blood cell | small intestine | digestive organ 
349 | Shivering | Biological process | Disease process | Biological process 
350 | bone | connective tissue | invertebrate | animal 
351 | aquatic organism | organism | Disease process | Biological process 
352 | cuboidal epithelium | epithelium | epithelium | tissue 
353 | stomach | digestive organ | adipose tissue | connective tissue 
354 | digestive organ | organ | bone | connective tissue 
354 | digestive organ | organ | bone | tissue 
355 | nervous tissue | tissue | stomach | digestive organ 
356 | Muscle contraction | Mechanical work | salivary gland | gland 
357 | aquatic organism | organism | Protein denaturation by heat | Protein denaturation 
358 | Metabolism | Biological process | brown fat | adipose tissue 
359 | epithelium | tissue | adipose tissue | connective tissue 
360 | aquatic organism | organism | mammalian digestive system | digestive system 
361 | nervous tissue | tissue | brown fat | adipose tissue 
362 | aquatic organism | organism | brown fat | adipose tissue 
363 | Protein denaturation by heat | Protein denaturation | Protein denaturation by heat | Protein denaturation 
364 | Shivering | Biological process | Evaporative cooling of water | Evaporative cooling 
365 | small intestine | organ | brown fat | adipose tissue 
365 | small intestine | organ | brown fat | connective tissue 
365 | small intestine | organ | brown fat | tissue 
366 | small intestine | digestive organ | brown fat | adipose tissue 
367 | stomach | digestive organ | salivary gland | gland 
368 | connective tissue | tissue | cartilage | connective tissue 
369 | Thermoregulation | Regulation | stomach | digestive organ 
370 | connective tissue | tissue | salivary gland | gland 
371 | connective tissue | tissue | aquatic organism | organism 
372 | nervous tissue | tissue | nervous tissue | tissue 
373 | skeletal muscle | tissue | brown fat | adipose tissue 
373 | skeletal muscle | tissue | brown fat | connective tissue 
373 | skeletal muscle | tissue | brown fat | tissue 
374 | central nervous-system | organ system | brown fat | adipose tissue 
374 | central nervous-system | organ system | brown fat | connective tissue 
375 | aquatic organism | organism | stratified squamous epithelium | epithelium 
376 | nervous tissue | tissue | mammalian digestive system | digestive system 
377 | epithelium | tissue | invertebrate | animal 
378 | Thermoregulation | Regulation | stomach | digestive organ 
379 | Metabolism | Biological process | Disease process | Biological process 
380 | brown fat | adipose tissue | Evaporative cooling of water | Evaporative cooling 
381 | mouse | mammal | stratified squamous epithelium | epithelium 
382 | ligament | connective tissue | cartilage | connective tissue 
382 | ligament | connective tissue | cartilage | tissue 
383 | salivary gland | gland | aquatic organism | organism 
384 | invertebrate | animal | aquatic organism | organism 
385 | aquatic organism | organism | adipose tissue | connective tissue 
386 | erythrocyte | blood cell | nervous tissue | tissue 
387 | Muscle contraction | Mechanical work | cuboidal epithelium | epithelium 
388 | Shivering | Biological process | nervous tissue | tissue 
389 | mouse | mammal | Shivering | Biological process 
390 | blood | connective tissue | nervous tissue | tissue 
391 | bone | connective tissue | Evaporative cooling of water | Evaporative cooling 
392 | aquatic organism | organism | bone | connective tissue 
393 | tongue | organ | stratified squamous epithelium | epithelium 
393 | tongue | organ | stratified squamous epithelium | tissue 
394 | digestive system | organ system | cuboidal epithelium | epithelium 
394 | digestive system | organ system | cuboidal epithelium | tissue 
395 | nervous tissue | tissue | stomach | digestive organ 
396 | blood | connective tissue | epithelium | tissue 
397 | mouse | mammal | stomach | digestive organ 
398 | salivary gland | gland | epithelium | tissue 
399 | ligament | connective tissue | adipose tissue | connective tissue 
399 | ligament | connective tissue | adipose tissue | tissue 
400 | smooth muscle | tissue | brown fat | adipose tissue 
400 | smooth muscle | tissue | brown fat | connective tissue 
401 | adipose tissue | connective tissue | Metabolism | Biological process 
402 | elephant | mammal | brown fat | adipose tissue 
402 | elephant | mammal | brown fat | connective tissue 
402 | elephant | mammal | brown fat | tissue 
403 | Shivering | Biological process | Protein denaturation by heat | Protein denaturation 
404 | mammalian digestive system | digestive system | epithelium | tissue 
405 | small intestine | digestive organ | Evaporative cooling of water | Evaporative cooling 
406 | small intestine | digestive organ | Protein denaturation by heat | Protein denaturation 
407 | adipose tissue | connective tissue | salivary gland | gland 
408 | cartilage | connective tissue | stomach | digestive organ 
409 | Shivering | Biological process | adipose tissue | connective tissue 
410 | small intestine | digestive organ | nervous tissue | tissue 
411 | brown fat | tissue | brown fat | adipose tissue 
411 | brown fat | tissue | brown fat | connective tissue 
411 | brown fat | tissue | brown fat | tissue 
412 | brown fat | connective tissue | brown fat | adipose tissue 
412 | brown fat | connective tissue | brown fat | connective tissue 
413 | brown fat | adipose tissue | brown fat | adipose tissue 
414 | invertebrate | animal | cuboidal epithelium | epithelium 
415 | nervous tissue | tissue | salivary gland | gland 
416 | Protein denaturation by heat | Protein denaturation | cuboidal epithelium | epithelium 
417 | adipose tissue | tissue | stratified squamous epithelium | epithelium 
417 | adipose tissue | tissue | stratified squamous epithelium | tissue 
418 | adipose tissue | connective tissue | stratified squamous epithelium | epithelium 
419 | brown fat | adipose tissue | Protein denaturation by heat | Protein denaturation 
420 | salivary gland | gland | cuboidal epithelium | epithelium 
421 | Muscle contraction | Mechanical work | epithelium | tissue 
422 | mouse | mammal | adipose tissue | connective tissue 
423 | stratified squamous epithelium | epithelium | mammalian digestive system | digestive system 
424 | animal | organism | cartilage | connective tissue 
424 | animal | organism | cartilage | tissue 
425 | Thermoregulation | Regulation | connective tissue | tissue 
426 | aquatic organism | organism | adipose tissue | connective tissue 
427 | mammalian digestive system | digestive system | cuboidal epithelium | epithelium 
428 | brown fat | adipose tissue | aquatic organism | organism 
429 | cartilage | connective tissue | mammalian digestive system | digestive system 
430 | adipose tissue | tissue | cartilage | connective tissue 
430 | adipose tissue | tissue | cartilage | tissue 
431 | adipose tissue | connective tissue | cartilage | connective tissue 
432 | Metabolism | Biological process | stratified squamous epithelium | epithelium 
433 | Disease process | Biological process | Evaporative cooling of water | Evaporative cooling 
434 | connective tissue | tissue | bone | connective tissue 
435 | brown fat | adipose tissue | small intestine | digestive organ 
436 | stomach | digestive organ | aquatic organism | organism 
437 | mouse | mammal | aquatic organism | organism 
438 | aquatic organism | organism | Metabolism | Biological process 
439 | salivary gland | gland | brown fat | adipose tissue 
440 | aquatic organism | organism | mammalian digestive system | digestive system 
441 | mammalian digestive system | digestive system | nervous tissue | tissue 
442 | salivary gland | gland | bone | connective tissue 
443 | Metabolism | Biological process | cartilage | connective tissue 
444 | bone | tissue | brown fat | adipose tissue 
444 | bone | tissue | brown fat | connective tissue 
445 | bone | connective tissue | brown fat | adipose tissue 
446 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
447 | small intestine | digestive organ | small intestine | digestive organ 
448 | mammalian digestive system | digestive system | epithelium | tissue 
449 | epithelium | tissue | invertebrate | animal 
450 | nervous tissue | tissue | bone | connective tissue 
451 | bone | connective tissue | invertebrate | animal 
452 | stratified squamous epithelium | epithelium | small intestine | digestive organ 
453 | digestive system | organ system | cuboidal epithelium | epithelium 
453 | digestive system | organ system | cuboidal epithelium | tissue 
454 | Disease process | Biological process | cuboidal epithelium | epithelium 
455 | digestive organ | organ | brown fat | adipose tissue 
455 | digestive organ | organ | brown fat | connective tissue 
456 | epithelium | tissue | invertebrate | animal 
457 | blood | connective tissue | Metabolism | Biological process 
458 | salivary gland | gland | invertebrate | animal 
459 | small intestine | digestive organ | epithelium | tissue 
460 | bone | connective tissue | connective tissue | tissue 
461 | Shivering | Biological process | adipose tissue | connective tissue 
462 | small intestine | digestive organ | mouse | mammal 
463 | aquatic organism | organism | cartilage | connective tissue 
464 | salivary gland | gland | invertebrate | animal 
465 | cartilage | connective tissue | Evaporative cooling of water | Evaporative cooling 
466 | Evaporative cooling of water | Evaporative cooling | Shivering | Biological process 
467 | ligament | connective tissue | cartilage | connective tissue 
467 | ligament | connective tissue | cartilage | tissue 
468 | mammalian digestive system | digestive system | aquatic organism | organism 
469 | hypothalamus | nervous tissue | brown fat | adipose tissue 
469 | hypothalamus | nervous tissue | brown fat | connective tissue 
469 | hypothalamus | nervous tissue | brown fat | tissue 
470 | cartilage | connective tissue | nervous tissue | tissue 
471 | brown fat | adipose tissue | small intestine | digestive organ 
472 | adipose tissue | connective tissue | nervous tissue | tissue 
473 | Shivering | Biological process | stratified squamous epithelium | epithelium 
474 | smooth muscle | tissue | brown fat | adipose tissue 
474 | smooth muscle | tissue | brown fat | connective tissue 
475 | Evaporative cooling of water | Evaporative cooling | stomach | digestive organ 
476 | epithelium | tissue | Metabolism | Biological process 
